atraso,aluno_id,falta,criado_em,primeira_metade
atrasado,173,TRUE,2024-04-12 22:01:01.837170,FALSE
atrasado,174,TRUE,2024-04-12 22:01:01.838488,FALSE
atrasado,175,TRUE,2024-04-12 22:01:01.839767,FALSE
atrasado,176,TRUE,2024-04-12 22:01:01.846286,FALSE
atrasado,177,TRUE,2024-04-12 22:01:01.848207,FALSE
atrasado,178,TRUE,2024-04-12 22:01:01.849893,FALSE
atrasado,179,TRUE,2024-04-12 22:01:01.851538,FALSE
atrasado,180,TRUE,2024-04-12 22:01:01.853073,FALSE
atrasado,181,TRUE,2024-04-12 22:01:01.854538,FALSE
atrasado,182,TRUE,2024-04-12 22:01:01.855927,FALSE
atrasado,183,TRUE,2024-04-12 22:01:01.857677,FALSE
atrasado,184,TRUE,2024-04-12 22:01:01.859654,FALSE
